Date,ID,Caption,Likes,Comments,HashTags,isVideo,ShortCode
2019-04-12 15:58:09,2020518716492899925,"I'm going to send the PM a book of Mr. Periyar & few books of Karunanidhiji, because the gentleman has no idea what #TamilNadu is - @rahulgandhi",5315,129,['tamilnadu'],True,BwKUxFGlmZV
2019-04-12 06:08:41,2020222592271959110,"अच्छे दिन की हांडी ऊंची बहुत लटकाय।
मेनिफेस्टो की आंच वहां तक पहुंच न पाय।।
.
.
#FridayFeeling 
#NoMo
#AchheDin",13729,504,"['fridayfeeling', 'nomo', 'achhedin']",False,BwJRb57lsRG
2019-04-12 05:38:03,2020204322076682657,"Listen to the song by Raghav Meattle that perfectly captures the question on every Indian's mind - ""वो दिन कहाँ गए?""",5666,49,[],True,BwJNSCfFumh
2019-04-11 03:17:10,2019411490416049107,"Today you decide
Love over hate
Jobs over pakoda
Policies over propoganda
One nation over division
Vote for #Congress, #Vote for you. 
Today you pledge,
#MyVoteForCongress #AbHogaNYAY",14241,505,"['congress', 'vote', 'myvoteforcongress', 'abhoganyay']",False,BwGZA0dlzvT
2019-04-11 03:16:55,2019411363379005106,"Today you decide
Love over hate
Jobs over pakoda
Policies over propoganda
One nation over division
Vote for #Congress, #Vote for you. 
Today you pledge,
#MyVoteForCongress #AbHogaNYAY",5996,49,"['congress', 'vote', 'myvoteforcongress', 'abhoganyay']",False,BwGY--Jl8ay
2019-04-11 03:16:36,2019411200782501214,"Today you decide
Love over hate
Jobs over pakoda
Policies over propoganda
One nation over division
Vote for #Congress, #Vote for you. 
Today you pledge,
#MyVoteForCongress #AbHogaNYAY",6051,55,"['congress', 'vote', 'myvoteforcongress', 'abhoganyay']",False,BwGY8muFgVe
2019-04-10 11:33:45,2018936646649887657,"We will move the country to a place where people feel empowered and happy- Congress President, @rahulgandhi",12784,203,[],False,BwEtC7vlbup
2019-04-10 11:33:34,2018936559618037831,"We will move the country to a place where people feel empowered and happy- Congress President, @rahulgandhi",7565,34,[],False,BwEtBqsFRhH
2019-04-10 11:33:25,2018936484682658561,"We will move the country to a place where people feel empowered and happy- Congress President, @rahulgandhi",19266,279,[],False,BwEtAk5lfMB
2019-04-10 11:33:09,2018936351479947385,We will move the country to a place where people feel empowered and happy- Congress President @rahulgandhi,8513,28,[],False,BwEs-o2FeB5
